,0
139,https://www.15min.lt/naujiena/aktualu/lietuva/g-nauseda-anksciau-palaikiusi-valdanciuosius-prezidente-dabar-kritikuoja-56-809278
140,https://www.15min.lt/naujiena/aktualu/svietimas/smk-vadovo-siulymas-lietuvoje-veiktu-du-klasikiniai-universitetai-vilniuje-ir-kaune-233-808756
141,https://www.15min.lt/naujiena/aktualu/lietuva/tarptautiniu-santykiu-ekspertas-rytu-europa-patraukliausia-europos-dalis-56-806254
142,https://www.15min.lt/naujiena/aktualu/sveikata/seimos-gydytoja-apie-lietuviu-sveikatos-rastinguma-fizine-sveikata-zmones-jau-daugmaz-suvokia-bet-su-emocine-yra-truputeli-blogiau-541-805374
143,https://www.15min.lt/naujiena/aktualu/svietimas/ekspertas-is-australijos-atostogu-trukme-ir-direktoriu-kadencija-svietimo-sistemos-rezultatu-nepakeis-233-805538
144,https://www.15min.lt/naujiena/aktualu/svietimas/politologas-a-krupavicius-negalima-teisetai-optimizuoti-tinklo-paliekant-akademines-bendruomenes-uz-duru-233-805104
145,https://www.15min.lt/naujiena/aktualu/svietimas/nuo-birzelio-keiciasi-priemimo-tvarka-i-profesines-mokyklas-233-805274
146,https://www.15min.lt/naujiena/aktualu/svietimas/ekspertai-is-viso-pasaulio-vilniuje-diskutuos-apie-jungtines-studiju-programas-233-804384
147,https://www.15min.lt/naujiena/aktualu/svietimas/molio-laboratorijoje-tyrejais-tampa-ir-5-iameciai-kiek-vandens-laseliu-telpa-ant-euro-cento-monetos-233-802276
148,https://www.15min.lt/naujiena/aktualu/lietuva/ko-daugiau-lietuvos-politikoje-chaoso-ar-reformu-56-804006
149,https://www.15min.lt/naujiena/aktualu/svietimas/dr-doc-zilvinas-martinaitis-kaip-nelikti-kvailiu-233-800306
150,https://www.15min.lt/naujiena/aktualu/nuomones/tomas-riklius-trys-priezastys-visiskai-atsisakyti-humanitariniu-mokslu-18-803778
151,https://www.15min.lt/video/gyva-pamoka-su-selemonu-kiek-kartu-per-valanda-paukstis-gali-atskristi-pamaitinti-jaunikliu-112892
152,https://www.15min.lt/naujiena/aktualu/nuomones/justina-liaukeviciute-studentai-turi-suprasti-studiju-kokybe-zymiai-svarbiau-nei-universiteto-pavadinimas-diplome-18-803278
153,https://www.15min.lt/naujiena/aktualu/svietimas/e-jovaisa-siulo-universitetu-valdyma-grazinti-senatui-233-802678
154,https://www.15min.lt/naujiena/aktualu/svietimas/kaip-svajone-apkeliauti-pasauli-gali-virsti-profesinio-gyvenimo-keliu-233-801582
155,https://www.15min.lt/naujiena/aktualu/lietuva/r-karbauskis-gerti-lauko-kavinese-nedrausime-mokslo-metu-ilginti-nereikia-56-802536
156,https://www.15min.lt/naujiena/aktualu/svietimas/ktk-vienintele-valstybine-kolegija-kurioje-stojanciuju-skaicius-auga-233-802250
157,https://www.15min.lt/naujiena/aktualu/svietimas/valstieciai-siulo-kad-mokyti-galetu-tik-turintys-magistro-laipsni-233-801748
158,https://www.15min.lt/naujiena/aktualu/nuomones/aleksandras-abisala-pertvarkos-reikia-nes-mokslo-ir-studiju-sistema-serga-18-801726
159,https://www.15min.lt/naujiena/aktualu/lietuva/lietuviu-noras-migruoti-atsiranda-dar-mokykloje-56-801054
160,https://www.15min.lt/naujiena/aktualu/svietimas/per-seserius-metus-lietuvoje-besimokanciuju-skaicius-sumazejo-penktadaliu-233-800798
161,https://www.15min.lt/naujiena/aktualu/svietimas/raimonda-kukliene-tikybos-pamokoje-svarbu-ugdyti-kritini-mastyma-233-799532
162,https://www.15min.lt/naujiena/aktualu/lietuva/j-petrauskiene-isitikinusi-kad-seimas-pritars-vyriausybes-pasiulytam-universitetu-jungimui-56-799606
163,https://www.15min.lt/naujiena/aktualu/nuomones/rokas-grajauskas-kaip-lietuvai-tapti-danija-o-ne-graikija-18-799230
164,https://www.15min.lt/verslas/naujiena/finansai/r-grajauskas-lietuvos-ekonomikos-augimui-butina-svietimo-pertvarka-662-799164
165,https://www.15min.lt/naujiena/aktualu/svietimas/prasymus-lankyti-vilniaus-mokyklas-pateike-6-5-tukst-pirmoku-233-798642
166,https://www.15min.lt/naujiena/aktualu/svietimas/p-gudynas-norint-gerai-islaikyti-egzaminus-formaliu-ziniu-nepakanka-233-798232
167,https://www.15min.lt/naujiena/aktualu/svietimas/specialistu-isvada-tik-kas-penktoje-lietuvos-mokykloje-mokymo-kokybe-yra-gera-233-798176
168,https://www.15min.lt/naujiena/aktualu/svietimas/kokios-naujausios-studiju-programos-uzsienyje-vis-labiau-domina-lietuvos-moksleivius-233-795954
169,https://www.15min.lt/naujiena/aktualu/svietimas/tvf-siekdama-pasivyti-vakarus-lietuva-turi-pertvarkyti-svietimo-sistema-233-797646
170,https://www.15min.lt/naujiena/aktualu/svietimas/lietuvos-verslo-konfederacija-turi-likti-tik-du-universitetai-233-797402
171,https://www.15min.lt/gyvenimas/naujiena/seima/a-landsbergiene-pasodinus-vaikus-prie-pratybu-sasiuviniu-kurybingumas-ima-gesti-1026-797248
172,https://www.15min.lt/verslas/naujiena/mokslas-it/robotikos-akademijos-ikurejas-pradzioje-i-mus-ziurejo-kaip-i-kosmonautus-1290-796264
173,https://www.15min.lt/naujiena/aktualu/nuomones/vytautas-adomaitis-universitetu-reforma-tarp-pageidavimu-koncerto-ir-nepopuliariu-savoku-18-796182
174,https://www.15min.lt/naujiena/aktualu/nuomones/vidmantas-martikonis-sovietinio-palikimo-mokyklu-turi-nelikti-18-795926
175,https://www.15min.lt/naujiena/aktualu/nuomones/vaidotas-norkus-ar-galime-neabejoti-reitingais-18-795818
176,https://www.15min.lt/naujiena/aktualu/lietuva/reitingo-dugne-atsidurusios-mokyklos-direktorius-pakilti-nelengva-56-795638
177,https://www.15min.lt/naujiena/aktualu/pasaulis/ko-rusijoje-vaikus-moko-apie-antraji-pasaulini-kara-57-794690
178,https://www.15min.lt/naujiena/aktualu/nuomones/pranas-ziliukas-akademine-bendruomene-pokyciams-pribrendo-18-795068
179,https://www.15min.lt/naujiena/aktualu/svietimas/ketvirtoji-pramones-revoliucija-technologijos-jau-yra-bet-svietimas-dar-tik-vejasi-233-794960
180,https://www.15min.lt/naujiena/aktualu/svietimas/premjeras-edukologijos-universiteto-turtas-turetu-buti-parduotas-233-794578
181,https://www.15min.lt/naujiena/aktualu/svietimas/europos-diena-siuloma-pasitikrinti-zinias-europos-egzamine-233-794366
182,https://www.15min.lt/naujiena/aktualu/nuomones/lukas-kijauskas-jei-neigyvendinsime-aukstojo-mokslo-reformos-pasekmes-bus-skaudzios-18-794314
183,https://www.15min.lt/naujiena/aktualu/nuomones/domas-lavrukaitis-dar-karta-apie-universitetus-18-794298
184,https://www.15min.lt/naujiena/aktualu/lietuva/seime-bus-aptarta-kulturos-ir-svietimo-politika-ziniasklaidoje-56-794032
185,https://www.15min.lt/naujiena/aktualu/svietimas/panevezio-sekmes-formule-talentu-pritraukimas-233-793516
186,https://www.15min.lt/naujiena/aktualu/svietimas/premjero-patareja-une-kaunaite-apie-universitetu-jungima-nieko-nedaryti-butu-tiesiog-nevalstybiska-233-792566
187,https://www.15min.lt/naujiena/aktualu/lietuva/saulius-skvernelis-po-diskusiju-su-universitetu-bendruomenemis-aukstojo-mokslo-reformos-planas-gali-keistis-56-792104
188,https://www.15min.lt/naujiena/aktualu/svietimas/15min-studijoje-vu-ir-ktu-rektoriai-apie-universitetu-jungimo-plana-233-791902
189,https://www.15min.lt/naujiena/aktualu/svietimas/aukstuju-mokyklu-pertvarka-svarbiausi-klausimai-ir-atsakymai-233-791558
